"sender","duration","Horizontal_Pos","Vertical_Pos","P_Size_L","P_Size_R","P_Size","Position"
"Consent Form",23298.1,NA,NA,NA,NA,NA,NA
"Debrief No Consent",NA,NA,NA,NA,NA,NA,NA
"Demographics",74366.44,NA,NA,NA,NA,NA,NA
"Fullscreen",2097.96000000001,NA,NA,NA,NA,NA,NA
"Instructions_1",9213.62,NA,NA,NA,NA,NA,NA
"Instructions 1.5",4826.42,NA,NA,NA,NA,NA,NA
"Calibration",3334.02,"200","0",NA,NA,NA,NA
"Mask",199.87999999999,"200","0",NA,NA,NA,NA
"Sequence",3549.48000000001,"200","0",NA,NA,NA,NA
"Calibration",2329.88,"0","-150",NA,NA,NA,NA
"Mask",199.940000000002,"0","-150",NA,NA,NA,NA
"Sequence",2549.72,"0","-150",NA,NA,NA,NA
"Calibration",5904.5,"0","150",NA,NA,NA,NA
"Mask",199.960000000006,"0","150",NA,NA,NA,NA
"Sequence",6132.56,"0","150",NA,NA,NA,NA
"Calibration",3193.28,"0","0",NA,NA,NA,NA
"Mask",199.98000000001,"0","0",NA,NA,NA,NA
"Sequence",3416.22,"0","0",NA,NA,NA,NA
"Calibration",3259.39999999999,"-200","0",NA,NA,NA,NA
"Mask",199.98000000001,"-200","0",NA,NA,NA,NA
"Sequence",3466.22,"-200","0",NA,NA,NA,NA
"Screen Setup",19180.84,NA,NA,NA,NA,NA,NA
"Instructions_2",7415.51999999999,NA,NA,NA,NA,NA,NA
"Instructions_3",9444.16,NA,NA,NA,NA,NA,NA
"Start Button",1894.72,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Mask",199.979999999981,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Comparison",6526.04000000001,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Sequence",8675.72,NA,NA,"P_Small_3.png","P_Large_3.png",NA,NA
"Start Button",1695.14000000001,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Mask",199.979999999981,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Comparison",5902.04000000001,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Sequence",7835.14000000001,NA,NA,"P_Large_3.png","P_Small_3.png",NA,NA
"Start Button",1236.5,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Mask",199.899999999994,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Comparison",1940.38,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Sequence",3423.5,NA,NA,"P_Large_3.png","Control_3 (Small).png",NA,NA
"Start Button",1582.98000000001,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Mask",199.959999999992,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Comparison",1438.5,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
"Sequence",3254.98000000001,NA,NA,"P_Small_3.png","Control_3 (Big).png",NA,NA
